split,id,cultivation_system,governorate,zone_id,area_ha,bbox_min_lng,bbox_min_lat,bbox_max_lng,bbox_max_lat
train,parcel_1777663020929_sz60j,intensif,Gabes,Gabes__lat168_lng49,13.15039699051966,9.813172817230226,33.70771381407766,9.817389249801638,33.718119847680754
train,parcel_1777665966157_egeq5,extensif,Mahdia,Mahdia__lat176_lng53,94.92092846720377,10.609681606292725,35.28510020124355,10.624240636825563,35.29580154794966
train,parcel_1777666096636_lo0y0,extensif,Sfax,Sfax__lat175_lng52,369.5143302028536,10.390748977661135,35.10067007507123,10.435638427734377,35.11983836576603
train,parcel_1777666127269_tb54q,extensif,Sfax,Sfax__lat175_lng52,555.0980749596731,10.386199951171877,35.061898440531564,10.419459342956545,35.093331569181274
train,parcel_1777666170696_fk7cq,extensif,Sfax,Sfax__lat175_lng52,1807.1164396063298,10.525331497192385,35.016571290058614,10.593652725219728,35.06080947832481
train,parcel_1777666196106_hhim9,extensif,Sfax,Sfax__lat175_lng53,189.6459480475336,10.596570968627931,35.0246547168645,10.620002746582033,35.04552734778223
train,parcel_1777666217906_3lfgs,extensif,Sfax,Sfax__lat175_lng53,214.9880465862079,10.593459606170654,35.001667574111046,10.62755584716797,35.01458545642555
train,parcel_1777666232428_43q5u,extensif,Sfax,Sfax__lat175_lng53,117.86978313823562,10.62978744506836,35.00092934779467,10.646181106567385,35.01312680454406
train,parcel_1777666247763_3i29v,extensif,Sfax,Sfax__lat175_lng53,58.115115913749065,10.611076354980469,35.0185570754695,10.628199577331545,35.02569144639135
train,parcel_1777666273477_7e680,extensif,Sfax,Sfax__lat175_lng53,54.66463616439917,10.6213116645813,35.02890698145975,10.631997585296633,35.03788521017039
train,parcel_1777666300643_1c2ue,extensif,Sfax,Sfax__lat175_lng53,49.28764309617389,10.626997947692871,35.02426813638757,10.637834072113039,35.034722737241204
train,parcel_1777666340373_juajr,extensif,Sfax,Sfax__lat175_lng52,303.20435155336753,10.49271583557129,35.031033030807485,10.524988174438478,35.048970468127834
train,parcel_1777666373384_lm2rb,extensif,Sfax,Sfax__lat175_lng52,802.5649560894694,10.482652187347414,35.00414585660239,10.531597137451172,35.03962451811228
train,parcel_1777666392195_gp8ab,extensif,Sfax,Sfax__lat175_lng52,59.06211966714234,10.427505970001222,35.04438546460099,10.440101623535158,35.05336199263528
train,parcel_1777666410382_4ozey,extensif,Sfax,Sfax__lat175_lng52,104.69984177156394,10.441195964813234,35.043489514314686,10.456817150115969,35.05601435904989
train,parcel_1777666449437_wci0q,extensif,Sfax,Sfax__lat175_lng52,253.9376947109025,10.424845218658449,35.03113845330299,10.455701351165773,35.045193568195565
train,parcel_1777666990655_5k85g,intensif,Kairouan,Kairouan__lat177_lng50,84.43366113371383,10.035109519958498,35.548019063354694,10.04779100418091,35.56245600461936
train,parcel_1777667140912_3xckb,intensif,Gabes,Gabes__lat171_lng49,294.60529504069433,9.884648323059084,34.34531404672985,9.906835556030275,34.36837785748377
train,parcel_1777667155941_ci6fx,intensif,Gabes,Gabes__lat171_lng49,46.166828108993165,9.895548820495605,34.33237994779142,9.905333518981935,34.34074304514715
train,parcel_1777667189888_bwda5,intensif,Gabes,Gabes__lat171_lng49,105.58105517579072,9.90546226501465,34.334364487026306,9.9212121963501,34.34945962338296
val,parcel_1777666032243_cm5hf,extensif,Sfax,Sfax__lat174_lng51,2104.0940821600525,10.333242416381838,34.97143000072404,10.411691665649416,35.02149173198311
val,parcel_1777666485645_8qagw,extensif,Sfax,Sfax__lat174_lng51,990.7245079752144,10.286400318145754,34.95820634396683,10.333135128021242,35.00019111481785
val,parcel_1777666507054_wo1vk,extensif,Sfax,Sfax__lat174_lng51,778.7330248700009,10.312385559082033,34.94786508309557,10.354700088500978,34.98746433753251
val,parcel_1777666529889_rdkq2,extensif,Sfax,Sfax__lat174_lng51,1078.2700727821218,10.247411727905275,34.975860855058976,10.306034088134767,35.01361888278539
val,parcel_1777667281825_3deuj,intensif,Beja,Beja__lat182_lng46,72.88069155529948,9.374084472656252,36.5437685692894,9.39211964607239,36.5505777303919
val,parcel_1777667302238_zjnhu,intensif,Beja,Beja__lat182_lng46,18.077181996645837,9.370726346969606,36.54844023555084,9.377989768981935,36.552560031645
val,parcel_1777667330430_52762,intensif,Beja,Beja__lat182_lng46,45.633484593938114,9.355083703994753,36.54080338003719,9.364525079727175,36.54905218567758
test,parcel_1777662875975_5jz1b,intensif,Gabes,Gabes__lat171_lng48,105.91107426235152,9.686164855957031,34.20697545046599,9.700927734375002,34.22404513808185
test,parcel_1777662889381_5q9ie,intensif,Gabes,Gabes__lat171_lng48,16.810050217460006,9.647455215454103,34.20150958062575,9.656939506530762,34.20754331272217
test,parcel_1777666069829_t5ehp,extensif,Sfax,Sfax__lat175_lng51,2988.389915036504,10.256080627441406,34.98746433753251,10.351781845092775,35.05230804828909
test,parcel_1777666572107_7pdad,extensif,Kairouan,Kairouan__lat175_lng50,1443.2951926499438,10.124588012695314,35.02767701030615,10.193080902099611,35.05480236124469
test,parcel_1777666591451_o64cz,extensif,Kairouan,Kairouan__lat175_lng50,790.8698653056623,10.106992721557619,35.04714352438559,10.15840530395508,35.07651020540783
test,parcel_1777666608727_pm8wx,extensif,Sidi_Bouzid,Sidi_Bouzid__lat175_lng50,367.63711614930213,10.120296478271486,35.01284561564833,10.145788192749025,35.033299584494074
test,parcel_1777666827849_immef,intensif,Gafsa,Gafsa__lat173_lng43,615.6273959080931,8.76091003417969,34.654956666428426,8.797988891601564,34.69032151100285
